Dates,Price,Open,High,Low,Volume,Chg%
3/3/2023,1855,1842,1864,1842,0,0.0077
3/2/2023,1840,1844,1845,1835.9,0,-0.0027
3/1/2023,1845,1834,1852,1829.6,182.58K,0.0047
2/28/2023,1837,1824,1839,1810.8,184.51K,0.0065
2/27/2023,1825,1818,1827,1812,130.43K,0.0035
2/26/2023,1818,1818,1820,1817,0,0.0051
2/24/2023,1809,1825,1827,1808.8,0.40K,-0.0053
2/23/2023,1819,1824,1833,1818.3,0.65K,-0.0079
2/22/2023,1833,1837,1846,1825.1,0.57K,-0.005
2/21/2023,1842,1850,1856,1839,210.17K,-0.0043
2/20/2023,1850,1848,1856,1846.3,0,0.0015
2/19/2023,1848,1851,1852,1847.55,0,0.004
2/17/2023,1840,1827,1842,1818.4,0.04K,-0.0009
2/16/2023,1842,1839,1844,1827.2,0.22K,0.0043
2/15/2023,1834,1842,1842,1828.2,0.37K,-0.0107
2/14/2023,1854,1854,1862,1846.2,0.66K,0.0011
2/13/2023,1852,1859,1861,1850,0.57K,-0.0059
2/10/2023,1863,1862,1864,1852.4,0.03K,-0.0018
2/9/2023,1866,1875,1885,1859.8,0.22K,-0.006
2/8/2023,1877,1872,1880,1872.1,0.23K,0.003
2/7/2023,1872,1870,1876,1868,0.30K,0.0029
2/6/2023,1866,1866,1880,1863.4,0.42K,0.0018
2/3/2023,1863,1912,1917,1861.5,0.99K,-0.0279
2/2/2023,1916,1952,1959,1911.3,0.75K,-0.006
2/1/2023,1928,1927,1955,1922,2.29K,-0.0009
1/31/2023,1930,1923,1930,1900.6,1.91K,0.0034
1/30/2023,1923,1928,1934,1920.3,27.22K,-0.0071
1/27/2023,1937,1937,1943,1923.7,2.33K,-0.0005
1/26/2023,1938,1955,1957,1926.5,2.10K,-0.0065
1/25/2023,1950,1946,1956,1928.7,1.27K,0.0037
1/24/2023,1943,1940,1951,1926.3,1.08K,0.0036
1/23/2023,1936,1936,1944,1920.1,0.97K,0.0041
1/20/2023,1928,1934,1939,1922,165.27K,0.0022
1/19/2023,1924,1907,1937,1902,214.25K,0.0089
1/18/2023,1907,1911,1930,1898.6,218.97K,-0.0001
1/17/2023,1907,1920,1920,1905.2,0.71K,-0.0014
1/16/2023,1910,1924,1932,1906.2,268.37K,-0.0052
1/15/2023,1920,1923,1924,1919.85,0,-0.0009
1/13/2023,1922,1899,1925,1895.1,247.88K,0.0121
1/12/2023,1899,1880,1906,1872.4,265.17K,0.0106
1/11/2023,1879,1881,1891,1870.9,222.25K,0.0013
1/10/2023,1876,1876,1885,1872,170.51K,-0.0007
1/9/2023,1878,1873,1886,1869.3,204.55K,0.0043
1/6/2023,1870,1836,1875,1835.2,215.37K,0.0158
1/5/2023,1841,1861,1864,1829.9,188.60K,-0.0099
1/4/2023,1859,1845,1871,1842,198.35K,0.007
1/3/2023,1846,1832,1857,1831.3,212.27K,0.0056
1/2/2023,1836,1835,1838,1831.4,0,0.0053
12/30/2022,1826,1822,1832,1819.8,107.50K,0.0001
12/29/2022,1826,1812,1827,1811.2,105.99K,0.0056
12/28/2022,1816,1822,1823,1804.2,118.08K,-0.004
12/27/2022,1823,1808,1842,1808,159.62K,0.0074
12/26/2022,1810,1806,1812,1805.55,0,0.003
12/23/2022,1804,1801,1812,1798.9,105.46K,0.005
12/22/2022,1795,1824,1829,1792.7,175.77K,-0.0165
12/21/2022,1825,1828,1834,1821.3,110.18K,0
12/20/2022,1825,1797,1832,1793.7,197.50K,0.0154
12/19/2022,1798,1802,1809,1793.2,86.09K,-0.0014
12/16/2022,1800,1787,1804,1783.9,128.75K,0.0069
